circuitId,circuitRef,name,location,country,incidentCount
6,monaco,Circuit de Monaco,Monte-Carlo,Monaco,176
20,nurburgring,NÌ_rburgring,NÌ_rburg,Germany,113
14,monza,Autodromo Nazionale di Monza,Monza,Italy,113
9,silverstone,Silverstone Circuit,Silverstone,UK,99
13,spa,Circuit de Spa-Francorchamps,Spa,Belgium,94
7,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,90
19,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,85
18,interlagos,AutÌ_dromo JosÌ© Carlos Pace,SÌ£o Paulo,Brazil,75
39,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,60
23,osterreichring,A1-Ring,Spielburg,Austria,58
4,catalunya,Circuit de Barcelona-Catalunya,MontmelÌ_,Spain,57
22,suzuka,Suzuka Circuit,Suzuka,Japan,55
10,hockenheimring,Hockenheimring,Hockenheim,Germany,55
1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,54
11,hungaroring,Hungaroring,Budapest,Hungary,51
43,long_beach,Long Beach,California,USA,43
30,kyalami,Kyalami,Midrand,South Africa,42
15,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,40
40,zolder,Zolder,Heusden-Zolder,Belgium,40
25,galvez,AutÌ_dromo Juan y Oscar GÌÁlvez,Buenos Aires,Argentina,36
2,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,34
46,watkins_glen,Watkins Glen,New York State,USA,33
38,brands_hatch,Brands Hatch,Kent,UK,33
21,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,31
37,detroit,Detroit Street Circuit,Detroit,USA,30
3,bahrain,Bahrain International Circuit,Sakhir,Bahrain,27
8,magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,25
24,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24
48,mosport,Mosport International Raceway,Ontario,Canada,24
35,yeongam,Korean International Circuit,Yeongam County,Korea,24
32,rodriguez,AutÌ_dromo Hermanos RodrÌ_guez,Mexico City,Mexico,24
17,shanghai,Shanghai International Circuit,Shanghai,China,23
45,jarama,Jarama,Madrid,Spain,21
36,jacarepagua,AutÌ_dromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,21
29,adelaide,Adelaide Street Circuit,Adelaide,Australia,18
5,istanbul,Istanbul Park,Istanbul,Turkey,18
34,ricard,Circuit Paul Ricard,Le Castellet,France,16
12,valencia,Valencia Street Circuit,Valencia,Spain,16
68,buddh,Buddh International Circuit,Uttar Pradesh,India,16
71,sochi,Sochi Autodrom,Sochi,Russia,14
41,dijon,Dijon-Prenois,Dijon,France,13
49,montjuic,MontjuÌøc,Barcelona,Spain,12
27,estoril,AutÌ_dromo do Estoril,Estoril,Portugal,12
47,anderstorp,Scandinavian Raceway,Anderstorp,Sweden,10
69,americas,Circuit of the Americas,Austin,USA,9
53,essarts,Rouen-Les-Essarts,Rouen,France,9
66,bremgarten,Circuit Bremgarten,Bern,Switzerland,9
55,reims,Reims-Gueux,Reims,France,9
70,red_bull_ring,Red Bull Ring,Spielburg,Austria,7
58,aintree,Aintree,Liverpool,UK,7
16,fuji,Fuji Speedway,Oyama,Japan,7
26,jerez,Circuito de Jerez,Jerez de la Frontera,Spain,7
50,nivelles,Nivelles-Baulers,Brussels,Belgium,6
64,ain-diab,Ain Diab,Casablanca,Morocco,5
73,BAK,Baku City Circuit,Baku,Azerbaijan,5
56,george,Prince George Circuit,Eastern Cape Province,South Africa,4
65,pescara,Pescara Circuit,Pescara,Italy,4
52,tremblant,Circuit Mont-Tremblant,Quebec,Canada,4
51,charade,Charade Circuit,Clermont-Ferrand,France,4
44,las_vegas,Las Vegas Street Circuit,Nevada,USA,4
67,pedralbes,Circuit de Pedralbes,Barcelona,Spain,3
57,zeltweg,Zeltweg,Styria,Austria,2
59,boavista,Circuito da Boavista,Oporto,Portugal,2
62,monsanto,Monsanto Park Circuit,Lisbon,Portugal,2
63,sebring,Sebring International Raceway,Florida,USA,2
42,dallas,Fair Park,Dallas,USA,2
60,riverside,Riverside International Raceway,California,USA,1
61,avus,AVUS,Berlin,Germany,1
54,lemans,Le Mans,Le Mans,France,1
